Name,Position,Service,Off_Svc,Year,Nom_Rcvd,Nom_Conf,Nom_Lag,Congress,POTUS,P_Party,S_Party,Vote_Type,Vote_Simple,DYes,Dno,Dnv,Ryes,Rno,Rnv,Sen_Pres,Renomination,Notes
"Lyles, Lester L.",AFMC,USAF,USAF,2000,2/22/00,3/30/00,37,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Lyles, Lester L.",VCSAF,USAF,USAF,1999,4/15/99,4/29/99,14,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Macke, Richard C.",PACOM,DoD,USN,1994,5/3/94,7/15/94,73,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Maddox, David M.",USAREUR,USA,USA,1992,5/13/92,7/2/92,50,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"Magnus, Robert",ACMC,USMC,USMC,2005,4/4/05,7/29/05,116,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Martin, Gregory S.",AFMC,USAF,USAF,2003,5/20/03,7/31/03,72,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Martin, Gregory S.",USAFE,USAF,USAF,1999,10/20/99,11/5/99,16,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Martin, Gregory S.",,,USAF,2004,9/7/04,10/7/04,30,108,"Bush, GW",Republican,Republican,Withdrawn,Withdrawn,,,,,,,1,,Received message of withdrawal of nomination from the President.
"Mattis, James N.",CENTCOM,DoD,USMC,2010,7/21/10,8/5/10,15,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Mattis, James N.",JFCOM,DoD,USMC,2007,9/12/07,9/28/07,16,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Mattis, James N.",JFCOM,DoD,USMC,2009,7/29/09,9/25/09,58,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Mauz Jr, Henry H.",LANTFLT,USN,USN,1992,4/28/92,7/2/92,65,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"McCaffrey, Barry R.",SOUTHCOM,DoD,USA,1994,11/22/93,2/9/94,79,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
